param_0,param_1,param_2,param_3,param_4,param_5,TE0,TE1,TE2
1.0676e-06,1.569e-07,1.2535e-06,1.0165e-06,9.978e-07,8.075e-07,0.2963,0.2032,0.075
2.844e-07,5.554e-07,4.595e-07,1.1193e-06,1.2112e-06,2.0003e-06,0.0133,0.152,0.0275
1.9524e-06,2.673e-07,1.1733e-06,2.371e-07,1.9972e-06,3.328e-07,0.076,0.3125,0.0118
1.968e-06,8.174e-07,1.1735e-06,9.978e-07,1.0269e-06,3.039e-07,0.3408,0.0221,0.1449
9.933e-07,1.0336e-06,1.166e-06,1.204e-06,2.2e-07,4.453e-07,0.1581,0.1767,0.0704
8.417e-07,1.959e-07,1.9686e-06,1.8289e-06,1.158e-06,7.977e-07,0.1522,0.1409,0.065
2.839e-07,1.822e-06,8.521e-07,1.733e-06,1.977e-07,2.379e-07,0.0235,0.0237,0.1369
3.677e-07,1.3997e-06,7.711e-07,6.603e-07,5.82e-07,1.2364e-06,0.529,0.0564,0.2565
2.026e-07,5.874e-07,1.451e-06,4.391e-07,1.9273e-06,7.453e-07,0.4538,0.0963,0.0211
8.329e-07,5.288e-07,1.4449e-06,1.1106e-06,1.2527e-06,1.3346e-06,0.2038,0.1181,0.358
3.501e-07,1.6237e-06,5.768e-07,3.657e-07,8.033e-07,8.094e-07,0.7007,0.0162,0.0301
3.393e-07,9.125e-07,1.8472e-06,1.6472e-06,9.024e-07,1.381e-07,0.0611,0.0457,0.1607
8.241e-07,6.891e-07,1.122e-07,1.346e-06,2.0136e-06,2.383e-07,0.3759,0.219,0.0506
3.531e-07,9.567e-07,5.746e-07,2.822e-07,5.626e-07,8.346e-07,0.7853,0.0644,0.0166
5.298e-07,5.775e-07,7.293e-07,6.603e-07,1.4044e-06,1.2327e-06,0.4414,0.0949,0.1829
1.1603e-06,9.388e-07,1.1267e-06,1.9972e-06,1.9783e-06,3.368e-07,0.3018,0.087,0.1387
1.4758e-06,1.5748e-06,1.1526e-06,1.1628e-06,9.71e-07,1.098e-07,0.2274,0.1229,0.1489
9.782e-07,1.7012e-06,1.177e-07,1.294e-07,2.0072e-06,3.145e-07,0.0289,0.0721,0.2359
1.493e-06,7.279e-07,1.3497e-06,4.986e-07,1.0642e-06,1.1553e-06,0.371,0.0017,0.128
8.49e-07,1.1111e-06,2.0502e-06,1.8836e-06,9.704e-07,1.8768e-06,0.3613,0.0352,0.0787
1.755e-06,1.355e-07,1.1555e-06,2.371e-07,9.955e-07,3.06e-07,0.0384,0.2676,0.0158
1.0455e-06,1.6173e-06,1.7329e-06,1.6779e-06,1.2046e-06,1.1023e-06,0.2062,0.0631,0.2063
2.243e-07,7.012e-07,1.451e-06,1.3299e-06,1.9273e-06,2.128e-07,0.0216,0.0026,0.0273
1.014e-06,1.1025e-06,1.0893e-06,1.2083e-06,1.891e-07,4.453e-07,0.1134,0.2184,0.0908
1.0035e-06,3.897e-07,1.2543e-06,1.0409e-06,4.559e-07,7.94e-07,0.2331,0.2159,0.0715
1.8778e-06,3.807e-07,1.9636e-06,3.143e-07,1.0074e-06,9.758e-07,0.2708,0.2786,0.0384
4.212e-07,9.39e-07,1.1601e-06,2.0016e-06,9.775e-07,1.0658e-06,0.2428,0.1419,0.2323
1.0336e-06,1.6031e-06,1.947e-07,1.529e-07,2.0647e-06,1.7419e-06,0.0157,0.0241,0.0312
1.0455e-06,1.5867e-06,1.7329e-06,1.8707e-06,1.1558e-06,2.1092e-06,0.1521,0.0376,0.1579
8.489e-07,4.417e-07,2.1715e-06,1.0303e-06,1.2063e-06,1.055e-06,0.2829,0.2037,0.2606
1.6344e-06,1.819e-07,1.906e-07,3.251e-07,1.0263e-06,5.444e-07,0.0391,0.0834,0.0514
8.997e-07,4.745e-07,1.8594e-06,1.0916e-06,5.478e-07,1.554e-06,0.477,0.0135,0.1374
1.0156e-06,1.956e-07,1.2543e-06,1.0142e-06,9.828e-07,7.937e-07,0.3414,0.2082,0.0631
4.176e-07,5.123e-07,4.595e-07,1.1746e-06,1.3788e-06,9.363e-07,0.1068,0.2449,0.5976
1.0826e-06,9.662e-07,8.27e-07,1.3166e-06,1.1567e-06,9.126e-07,0.5294,0.1038,0.2226
1.9285e-06,1.3415e-06,1.6102e-06,1.4021e-06,1.3775e-06,5.517e-07,0.2005,0.0358,0.0339
3.67e-07,1.3532e-06,5.746e-07,3.246e-07,5.566e-07,8.274e-07,0.6346,0.0263,0.0526
2.82e-07,1.7129e-06,8.5e-07,1.079e-07,2.945e-07,3.141e-07,0.1744,0.1406,0.3163
2.273e-07,5.895e-07,1.1373e-06,2.1118e-06,1.9758e-06,1.0911e-06,0.0677,0.0092,0.1216
3.677e-07,1.3845e-06,8.007e-07,7.67e-07,7.687e-07,1.3497e-06,0.5734,0.0284,0.2
3.677e-07,1.3735e-06,7.429e-07,6.603e-07,5.82e-07,1.1985e-06,0.5599,0.0529,0.2325
9.047e-07,4.745e-07,8.823e-07,1.1009e-06,6.948e-07,1.5503e-06,0.5891,0.1246,0.1569
1.7328e-06,1.6237e-06,5.116e-07,2.359e-07,1.0022e-06,8.094e-07,0.0886,0.0198,0.0055
3.428e-07,9.567e-07,5.746e-07,2.822e-07,5.626e-07,1.2747e-06,0.6473,0.1701,0.0185
2.844e-07,5.554e-07,1.1836e-06,1.5385e-06,1.8809e-06,9.335e-07,0.1001,0.0366,0.1259
1.1828e-06,1.4204e-06,4.694e-07,9.541e-07,1.1747e-06,1.3013e-06,0.2606,0.1379,0.1022
8.329e-07,5.327e-07,1.4499e-06,1.3377e-06,1.2527e-06,1.3346e-06,0.1629,0.1193,0.4221
2.839e-07,1.57e-07,1.2616e-06,1.0123e-06,1.597e-07,2.379e-07,0.2212,0.0718,0.0456
5.339e-07,5.874e-07,2.1288e-06,9.768e-07,1.9255e-06,5.565e-07,0.3723,0.0754,0.002
8.241e-07,6.891e-07,1.1385e-06,1.346e-06,1.9079e-06,3.065e-07,0.3944,0.0545,0.044
5.339e-07,5.874e-07,1.451e-06,4.391e-07,1.9194e-06,5.565e-07,0.6551,0.0773,0.0005
4.191e-07,2.931e-07,5.665e-07,1.0955e-06,4.71e-07,1.5669e-06,0.2859,0.0868,0.0494
1.0831e-06,1.569e-07,8.411e-07,1.0165e-06,9.978e-07,8.079e-07,0.2233,0.2607,0.0714
8.308e-07,1.6505e-06,8.21e-07,1.4757e-06,5.461e-07,1.3041e-06,0.393,0.0589,0.1221
3.605e-07,1.3997e-06,5.913e-07,6.603e-07,5.82e-07,1.2364e-06,0.6621,0.0574,0.052
2.83e-07,5.864e-07,8.519e-07,1.1828e-06,1.14e-07,5.346e-07,0.0449,0.1034,0.1506
2.82e-07,9.912e-07,8.278e-07,1.3198e-06,1.831e-07,3.141e-07,0.038,0.0422,0.0902
1.332e-07,1.3735e-06,7.285e-07,6.603e-07,6.366e-07,1.1992e-06,0.3876,0.1042,0.2177
8.518e-07,4.279e-07,1.9756e-06,1.7641e-06,1.1198e-06,1.0732e-06,0.1826,0.162,0.2491
8.959e-07,1.1247e-06,9.828e-07,1.2151e-06,1.891e-07,4.44e-07,0.1664,0.2162,0.0927
3.567e-07,5.185e-07,5.746e-07,2.7e-07,5.596e-07,8.048e-07,0.826,0.1165,0.0527
1.4093e-06,8.423e-07,6.539e-07,2.039e-06,9.814e-07,1.2344e-06,0.3626,0.2582,0.0026
4.176e-07,5.123e-07,4.595e-07,1.2045e-06,1.3131e-06,9.37e-07,0.0973,0.3781,0.5088
1.785e-07,5.87e-07,1.6417e-06,4.385e-07,1.61e-07,5.383e-07,0.2951,0.0116,0.0284
3.517e-07,2.673e-07,1.2207e-06,3.669e-07,7.966e-07,3.06e-07,0.1817,0.0481,0.0746
8.573e-07,1.4123e-06,8.27e-07,1.3127e-06,1.2483e-06,8.377e-07,0.3955,0.0218,0.4004
9.775e-07,1.2831e-06,4.078e-07,1.1599e-06,1.3667e-06,3.267e-07,0.2377,0.0266,0.0944
1.4952e-06,5.237e-07,1.4642e-06,1.1144e-06,5.401e-07,9.125e-07,0.4933,0.0848,0.1319
1.0826e-06,9.622e-07,8.22e-07,1.0894e-06,1.1567e-06,9.126e-07,0.6482,0.0715,0.2067
2.159e-06,6.171e-07,1.6984e-06,1.7009e-06,3.521e-07,1.8585e-06,0.223,0.1318,0.1403
1.0676e-06,1.641e-07,8.419e-07,1.3428e-06,1.0515e-06,8.075e-07,0.2013,0.0926,0.2046
8.489e-07,4.417e-07,1.4905e-06,4.667e-07,1.2081e-06,1.1555e-06,0.3136,0.0259,0.2173
1.7343e-06,3.043e-07,1.424e-07,2.371e-07,1.0217e-06,2.378e-07,0.0623,0.0237,0.095
8.918e-07,4.73e-07,1.7415e-06,1.1707e-06,1.3774e-06,9.235e-07,0.2476,0.1463,0.2669
1.0671e-06,9.662e-07,1.2395e-06,1.3166e-06,1.1567e-06,9.122e-07,0.4751,0.0073,0.191
4.212e-07,9.39e-07,1.1601e-06,2.0016e-06,9.775e-07,9.729e-07,0.2792,0.1517,0.177
1.5064e-06,1.4373e-06,5.278e-07,9.518e-07,1.2561e-06,1.2473e-06,0.2788,0.1679,0.091
8.694e-07,1.922e-07,9.218e-07,1.1567e-06,1.1545e-06,7.759e-07,0.2232,0.183,0.1533
2.964e-07,6.615e-07,4.575e-07,4.455e-07,1.4741e-06,9.363e-07,0.4161,0.2122,0.248
8.331e-07,1.6931e-06,8.493e-07,1.214e-07,1.3644e-06,1.3348e-06,0.1392,0.0908,0.0283
1.3434e-06,8.271e-07,6.575e-07,2.0192e-06,9.268e-07,1.2344e-06,0.4411,0.1904,0.0351
3.4e-07,1.6419e-06,5.768e-07,4.34e-07,8.033e-07,8.094e-07,0.7642,0.0142,0.0301
1.0178e-06,5.402e-07,1.5602e-06,1.0843e-06,6.449e-07,1.5553e-06,0.4559,0.0062,0.2179
8.292e-07,9.67e-07,1.4449e-06,1.1228e-06,1.2557e-06,1.3644e-06,0.3261,0.0869,0.3188
1.9601e-06,2.975e-07,1.7595e-06,1.7009e-06,3.521e-07,1.8617e-06,0.1805,0.0021,0.3727
8.489e-07,1.4517e-06,2.1865e-06,1.0298e-06,1.2063e-06,1.055e-06,0.3844,0.1028,0.1935
5.359e-07,5.833e-07,7.251e-07,6.603e-07,1.4138e-06,1.2327e-06,0.45,0.096,0.1787
1.9524e-06,5.869e-07,1.3763e-06,2.26e-07,1.9972e-06,3.328e-07,0.3706,0.1613,0.0411
8.47e-07,4.131e-07,8.27e-07,1.2823e-06,1.1981e-06,1.3348e-06,0.0882,0.1471,0.342
3.402e-07,6.615e-07,4.603e-07,5.126e-07,6.954e-07,8.075e-07,0.9545,0.0312,0.0007
2.844e-07,1.3393e-06,4.595e-07,6.728e-07,5.401e-07,9.363e-07,0.6056,0.0395,0.0118
3.567e-07,5.851e-07,5.575e-07,2.7e-07,5.596e-07,9.497e-07,0.7373,0.1657,0.0824
6.515e-07,4.422e-07,8.699e-07,1.0488e-06,1.3332e-06,1.0174e-06,0.187,0.1976,0.4617
8.991e-07,4.279e-07,9.534e-07,1.7641e-06,1.1198e-06,1.0732e-06,0.2634,0.1776,0.2249
1.2175e-06,8.784e-07,1.451e-06,4.391e-07,1.9194e-06,5.565e-07,0.2298,0.1326,0.1612
1.5456e-06,1.4123e-06,1.5632e-06,1.1143e-06,1.3243e-06,9.223e-07,0.235,0.1903,0.0186
8.329e-07,5.327e-07,5.813e-07,1.3377e-06,5.529e-07,1.3305e-06,0.4305,0.009,0.0553
3.285e-07,9.57e-07,6.034e-07,1.067e-06,1.2527e-06,1.3346e-06,0.0431,0.3311,0.2022
8.256e-07,7.143e-07,7.89e-07,1.3127e-06,1.2483e-06,1.3348e-06,0.2694,0.2857,0.2006
7.968e-07,3.553e-07,1.7338e-06,1.0447e-06,1.1651e-06,7.843e-07,0.3469,0.246,0.1292
